"","date","Same","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same.1"
"1",1983-01-11,1.5,270,34.2000005245209,110.5,0,0,0,0,0,0,0,20.6999998092651,40.7999994754792,0,0,0,0,0,0,0,0,0,52.3000000715256,92.1999988555907,0,0,0,0,20.6999998092651,10.2999998927116
"2",1983-01-26,0,495,82.6999998092652,22.9000002145767,0,0,0,0,3.29999995231628,0,0,19,0,0,0,0,0,0,0,0,5.90000009536743,0,5.69999980926514,48.999999165535,0,0,0,0,0,0
"3",1983-02-10,105.7,720,62.3000001907349,125.100001573562,39.9000008106232,17.5999999046325,33.9999995231628,7.80000019073486,16.4000000953674,2.79999995231628,22.5,20.3000001907349,149.700001657009,13.6999998092651,11.7000000476837,0,23.6999998092651,0,0,6.80000019073486,32.0999994277954,13.1999995708466,107.099999606609,78.1999999582767,9.69999980926514,0,4.799999833107,26.5999999046326,75.2999992370606,45.8999991416931
"4",1983-02-25,0,945,81.9000005722046,123.699998915196,0,7.40000009536743,0,0,0,0,7.59999990463257,0,84.7000025510788,6.30000019073486,0,0,7.90000009536743,5,0,3.09999990463257,0,0,21.3999998569488,97.4999995231628,3.40000009536743,0,4.80000019073486,0,0,0
"5",1983-03-12,56.7,1170,73.1000002622604,94.700000166893,22.3000001907349,29.3000001907349,32.3999991416932,0,5.69999980926514,0,39.8000001907349,83.6000013351441,89.9000004529953,22.8000001907349,18.3999996185302,9,37,0,0,7.5,19.6999998092651,13.0000002384186,35.6000003814697,73.6000008583069,11.7999997138977,0,0,43.0000009536744,84.4000005722046,79.1999992132186
"6",1983-03-27,4.9,1395,115.299998283386,59.2000007629394,93.1000003814698,48.6999988555908,59.9999999999999,52.0999994277954,105.200001120567,26.4000000953674,61.5000002384186,159.900001049042,68.4999998807907,47.3999998569488,35.6000008583069,27.1000003814697,55.699999332428,36.2000000476837,34.9999995231628,62.0000002384186,27.4999995231629,60.5,7.59999990463257,49.6999988555908,54.8000011444092,35.7000000476837,15.9000000953674,93.8999996185303,24.7000007629395,13.900000333786
"7",1983-04-11,3.1,1620,90.0000009536744,18.8999996185303,57.800000667572,44.7999999523162,87.7999995946884,30.8000001907349,56.5999999046325,31.900000333786,84.599999666214,157.899998664856,26.2000002861023,38.6999998092651,51.5000007152558,30.3999993801117,74.9999997615813,13,38.099999666214,22.2000007629394,65.8999996185303,18.7000002861023,13.8999996185303,16.6000003814697,30.7999999523163,7.80000019073486,17.3999996185303,82.0000004768372,0,17
"8",1983-04-26,49,1845,89.3000006675721,0,62.5000002384186,53.9000005722046,81.6999998092651,48.6000003814698,69.8000000715255,47.9000004529953,74.4000003337859,112.39999961853,63.9999985694885,50.7000007629395,36.7000004053116,53.4000000953675,59.0000007152557,37.3000000715256,69.2000004053116,39.8000004291535,54.8000004291534,34.2999999523163,0,0,52.2999994754791,38.0999997854233,40.8999996185303,66.1999998092652,0,0
"9",1983-05-11,55,2070,0,0,68.5999999046326,73.5000009536744,81.0999999046326,69.1999999284744,94.9000005722045,68.5999993681907,76.199999332428,80,0,68.0000007152557,74.7999994754791,110.699998378754,71.0000009536742,70.5000001192094,163.200001478195,51.9000002145767,20.8999996185303,57.8999997377396,0,0,63.4999995231628,69.6000005006789,64.6999991536141,77.9999994039536,0,0
"10",1983-05-26,29.6,2295,0,0,103.099998235703,99.6000003814698,96.6000002622606,80.4999999403954,47.2000000476838,31.5999999046326,113.79999935627,15.6999998092651,0,92.7000002861023,108.300000548363,80.2999997138977,107.29999923706,49.4999995231628,96.4999992847443,76.4999995231628,0,77.8999995589256,0,0,88.2000007629394,46.7000002861023,45.0000002384185,114.500001430511,0,0
