Accra.KIA,Akatsi,Akim.Oda,Akuse,Asamankese,Axim,Babile,Begoro,Bole,Dodoma,GilgilKwetu,Ho,Kigoma,Koforidua,Kumasi,Lake Manyara,Mbeya,Mtwara,Musoma,Nsawam,Pokuase,Same,Songea,Takoradi,Tamale,Tema,Wenchi,Yendi,date
0.3,0.5,1.4,12.0,3.8,12.1,108.3,54.0,218.9,0.0,96.3,47.5,7.5,33.4,183.0,32.4,0.0,1.0,64.6,1.5,0.0,34.2,0.0,2.3,327.0,0.5,103.2,260.2,1982-09
36.7,6.7,250.0,112.3,282.5,205.7,125.3,105.6,119.89999999999999,6.5,122.6,230.1,150.0,272.9,190.8,221.6,41.2,1.2,117.6,163.9,116.3,137.5,24.5,130.2,46.400000000000006,48.0,134.4,73.8,1982-10
0.5,0.0,69.60000000000001,31.3,82.8,62.3,0.0,88.8,30.0,66.2,161.8,30.7,265.8,104.89999999999999,69.9,607.5,101.7,14.6,230.60000000000002,99.3,82.0,230.4,147.0,25.4,20.6,0.0,9.2,0.0,1982-11
0.0,0.0,1.6,42.7,5.0,10.1,0.0,2.4,0.0,216.5,123.5,37.1,118.8,20.400000000000002,0.0,214.2,185.2,43.3,81.3,11.7,0.0,31.6,281.6,13.5,0.0,0.0,0.0,0.0,1982-12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.5,7.199999999999999,0.0,105.1,0.0,0.0,110.9,180.3,99.10000000000001,63.5,0.0,0.0,1.5,275.4,0.0,0.0,0.3,0.0,0.0,1983-01
0.0,0.0,70.9,0.0,16.3,0.8,16.0,16.7,0.3,68.0,29.2,9.1,107.9,0.0,34.0,35.9,91.1,199.3,16.0,27.5,0.0,105.69999999999999,132.70000000000002,0.0,0.0,0.0,8.2,0.0,1983-02
4.6,0.0,17.6,3.8,17.5,29.8,0.0,79.3,37.5,122.8,9.2,13.2,118.2,71.1,67.0,79.3,145.9,306.9,76.3,22.9,0.0,57.6,242.2,0.0,82.2,1.8,12.6,69.39999999999999,1983-03
33.099999999999994,50.300000000000004,250.29999999999998,87.4,94.5,50.1,11.899999999999999,79.8,69.3,4.4,99.9,132.0,168.2,186.6,84.39999999999999,66.2,66.7,92.0,192.4,40.9,28.6,39.2,76.1,7.8999999999999995,47.8,42.4,137.20000000000002,72.6,1983-04
53.8,59.699999999999996,157.0,41.099999999999994,146.7,471.7,101.1,215.70000000000002,127.0,8.299999999999999,112.6,11.2,42.5,123.3,116.2,103.0,15.8,269.0,132.6,90.7,87.6,91.4,27.9,183.20000000000002,174.7,83.9,264.4,134.1,1983-05
152.3,172.3,150.4,225.0,158.7,236.0,83.4,163.4,90.6,0.0,124.7,155.3,4.0,166.7,231.20000000000002,17.3,0.1,77.4,49.5,85.8,133.8,15.5,0.5,127.5,65.2,154.8,112.5,159.4,1983-06
1.3,40.9,42.3,12.5,16.6,33.199999999999996,110.19999999999999,53.50000000000001,68.3,0.0,79.3,139.0,2.7,49.3,34.2,6.2,0.0,14.6,33.4,31.700000000000003,2.1,0.0,0.0,15.6,101.7,0.0,19.0,134.6,1983-07
