date,Bole,Takoradi,Tamale,Accra.KIA,Yendi,Pokuase,Koforidua,Kumasi,Ho,Akatsi,Babile,Tema,Akuse,Axim,Akim.Oda,Wenchi,Asamankese,Nsawam,Begoro
1981-02-07,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.3,1.8,0.0,0.0,0.0,0.8,0.0,4.6,0.0,12.7,0.0,0.0
1981-02-08,0.0,3.1,0.0,0.0,0.0,28.5,2.5,7.4,10.9,0.0,0.0,0.0,0.0,0.0,8.4,0.0,14.0,8.6,0.0
1981-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0
1981-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,3.1,6.6,0.0
1981-02-11,0.0,0.3,0.0,0.0,0.0,12.9,0.3,0.0,0.0,0.0,0.0,0.0,7.4,3.8,0.3,0.0,54.1,0.0,0.0
1981-02-12,0.0,8.6,0.0,0.0,0.0,0.0,7.1,15.3,21.1,0.0,0.0,0.0,1.3,0.0,8.4,0.0,6.3,55.9,3.1
1981-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,1.8,26.2,0.0
1981-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-16,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,4.6,4.6,0.0,0.0,0.0,0.0,0.5
1981-02-17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,3.3,6.9,0.0
1981-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,5.5,1.8,0.0,0.0,0.0,0.0,0.0
1981-02-19,7.6,0.0,0.0,0.0,0.0,0.0,0.0,9.3,4.4,0.0,0.0,0.0,6.3,14.0,29.7,0.0,21.3,0.0,2.3
1981-02-20,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,43.2,0.0,6.1,0.0,5.8
1981-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.9,0.3,0.0,0.0,0.0,0.0,0.0
1981-02-22,9.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,0.0,3.3,0.0,0.0
1981-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.5
1981-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0
1981-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,2.1,0.3,0.0,0.0,0.0,0.0,0.0
1981-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,8.7,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
1981-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,26.7,0.8,0.0,2.5,0.0,0.0
1981-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,1.5,0.0,6.1,0.0,0.0
1981-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,3.1,13.2,0.0
1981-03-03,0.0,0.0,6.7,0.0,0.0,0.0,0.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,2.8,50.6,24.1,0.0,0.0
1981-03-04,33.5,0.0,0.0,0.0,0.0,0.0,38.7,11.2,21.3,0.0,0.0,8.4,8.6,3.8,0.0,0.0,0.0,0.0,3.3
1981-03-05,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-06,0.0,0.0,9.4,0.0,0.4,2.0,0.0,4.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.0,0.0,0.0,0.0
1981-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1981-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-09,0.0,6.6,0.0,0.0,9.8,0.0,5.9,9.4,5.3,0.0,0.0,1.2,0.0,32.8,8.4,0.0,11.4,8.1,75.2
1981-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-11,0.0,0.0,0.0,0.0,0.0,0.0,59.8,16.4,8.9,0.0,5.6,6.1,3.3,3.8,0.0,13.5,0.0,0.0,0.0
1981-03-12,0.0,0.5,0.0,16.5,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-13,1.6,0.0,0.0,0.0,4.0,0.0,0.0,0.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.3
1981-03-14,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,4.1,0.0,0.0,2.5,0.8,0.0,1.5,0.0,1.3,61.0,1.3
1981-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0
1981-03-17,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.3,0.3,0.0,0.0,0.0,0.0,0.0
1981-03-18,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.0
1981-03-19,11.7,0.0,0.0,0.0,0.0,0.0,10.5,0.0,10.4,0.0,0.0,0.2,0.0,14.0,5.1,0.0,0.0,5.3,0.0
1981-03-20,34.5,0.0,0.0,0.0,0.0,0.0,1.0,35.3,0.0,0.0,3.1,0.0,0.0,0.0,0.0,75.7,0.0,0.0,0.0
1981-03-21,0.0,0.0,0.0,6.1,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.7,0.0,0.3,1.5,0.0,0.0,0.0,0.0
1981-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,11.7,4.6,0.0
1981-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.0,1.8,4.6,0.0,0.0,0.0,0.0
1981-03-24,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,6.6,12.7,0.0,0.0,0.0,0.0,1.3,0.0
1981-03-25,0.0,0.0,0.0,1.1,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,25.0,0.0,0.0,15.7
1981-03-26,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
1981-03-27,10.4,54.4,0.2,15.3,1.0,23.6,71.9,52.7,64.3,0.0,4.6,34.9,27.4,26.7,62.2,21.7,0.0,73.4,55.4
1981-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0
1981-03-29,14.5,0.0,7.6,0.0,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0
1981-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1981-03-31,43.1,0.0,0.0,0.0,20.6,0.0,0.0,18.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,0.0
