"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"30",1981-07-23,0,0,21.7,2.8,0,4.4,3.1,54.4,7.1,0,8.4,15,7.4,6.1,0,9.8,2.8,8,61.4,1.5,0,0,0,10.9,65.5,37.6,0,0
"31",1981-07-30,2.2,0,15.7,0.6,2.5,38.7,0.3,59.5,9.2,10.6,0,17.5,0,7.9,0.8,111.6,24.4,19.6,30.6,0.3,0,0,0,221.5,73.9,26.4,0,0
"32",1981-08-06,0,0,37.4,0.5,0,0,2.3,6.9,3,0,0,0.5,5.3,3.1,0,22.3,11.4,0.8,45,0,0,0,0,18.7,23.6,10.3,0,0
"33",1981-08-13,7.7,0.6,22.4,55.8,43.4,34,20.6,56.5,63.6,3.7,0.9,58.8,6.8,37.4,2.8,87.1,66.2,55.3,61.8,25.7,0,0,31.8,62.8,36.6,105.1,1.8,1
"34",1981-08-20,0.7,0,40.5,0,1.5,1.8,0.3,52.6,15,5,0,3.3,11,2.4,0,57.2,22.3,18,0,0,0,0,7.4,25.4,52.1,9.9,5.7,0.8
"35",1981-08-27,4.9,0,54.5,0,1.5,30.5,0,43.1,5.2,4.2,12.9,1.3,0.5,12.2,0,23.5,62.2,21.8,30.7,0,0,0,0,31.3,15.8,11.7,6.8,8.6
"36",1981-09-03,4.3,0,92.3,19.6,40.4,40.4,36.1,75.8,23.4,2.8,0.8,29.5,71.9,116.3,0.5,37.2,82,28.2,6.9,54.1,0,0,16,44.2,17.9,49.3,0,0
"37",1981-09-10,1.5,0,96,16.5,0,19.6,1.3,38.9,5.9,15.1,0.3,2,23.2,35.4,0,68.5,77.3,15.3,7.4,0,0.2,0,4.1,68,43.2,40.9,13.5,7.7
"38",1981-09-17,0,0,74.3,62.7,103.9,56.1,22.7,109.7,79.3,1.6,0.8,56.7,10.5,93.3,0,72.7,16.1,88.8,9.8,13.9,0,0,27.8,24.3,67.1,38.9,1.2,0
"39",1981-09-24,8.5,0,46.6,0,45.5,4.3,13,40.9,9.6,29.5,1.6,2.8,6.3,49.3,0,38.7,24.5,13.3,51.8,0,0,0.5,0,4.6,14.9,58.1,1.4,0
"40",1981-10-01,9.2,0,57.2,0.8,22.1,103.6,21.1,18.3,4.6,12.9,3.4,0,11.7,60.5,0,57.2,99.2,3.3,2.8,0.5,0,0,0,3,14.8,47.5,0,0
"41",1981-10-08,2.8,0,21.2,33.6,42,87.7,5.8,29.5,15,14.7,0.6,55.9,46.8,80.5,0,24.3,129.4,38.6,12,2.8,0,0,3.8,33.3,14.7,92.6,21.7,66.1
"42",1981-10-15,42.4,0,4.3,17.3,1.3,74.4,32.8,0,61.5,5.1,1.9,16.8,8.3,13.5,7.1,0.3,0.5,10.5,46,25.9,0,10.9,40.6,0,0,1.5,43.1,27.5
"43",1981-10-22,6.9,5.6,25.6,16.3,44.5,54.1,16.2,14,39.1,2.7,0,30.8,3.4,167.2,0,0,19.4,57.9,32.6,6.7,0,0,44.3,2.8,0,62.4,24.7,4.4
"44",1981-10-29,41.5,3.1,12.4,3.3,15.7,47.2,35.1,2,32.5,15.5,0,20.3,11.2,54.9,0,0,4.3,17,33.1,4.1,0,2,44.6,0,0,22.1,0,0.5
"45",1981-11-05,1.9,2,13.9,8.9,80.7,2.8,0,0,32,14.5,0,63,1.5,8.5,0,0,2.2,16.8,5.6,5.3,0,0,0,0,0,0.8,6,19.4
"46",1981-11-12,6.1,0,1.3,0,16.3,0,0.3,0,0,3.2,0.1,6.4,30,0,0,0,8.9,1,23.6,0,0,5.5,54.9,0,0,0,11.3,0
"47",1981-11-19,39,0,0.3,0,21.1,0,8.4,0,0,1.7,0,0,36.3,4.3,0,0,0,0,7.3,0,0,0,0,0,0,0,7.2,0
"48",1981-11-26,63.2,114.1,0.2,0,0,0,0,0,0,27.9,4.6,3.6,0,0,0,0,0,0,0,0,6.9,35.8,0,0,0,0,42.6,2.4
"49",1981-12-03,62.4,34.9,13.4,0.3,7.4,0,0.3,0,0.4,5.4,2.1,5.8,17.6,26.7,0,0,0,2.5,2.5,0.3,21.1,33.4,6.7,0,0,19.3,10.8,12.1
"50",1981-12-10,40.6,30.6,2.2,0,0,0,22.9,0,0.4,9.8,0,1.5,39.4,0,0,0,0,0,4.6,0,0,8.1,0,0,0,41.9,95.6,25.2
"51",1981-12-17,56.7,0,2.7,0,0,0,3,0,0,11.4,0,0,36.1,0.8,0,0,0,0.5,21.8,0.8,0.6,4.6,0,0,0,0,76.4,32.3
"52",1981-12-24,1.2,40.6,1.6,0,0,0,0.8,0,0.5,6.9,0,0,3.6,7.9,0,0,0,11.7,0,0,55.9,37.8,0,0,0,5.8,18.5,9.6
"53",1981-12-31,29,35.8,0.1,0,0,0,0,0,11.4,6.2,0,0,29.5,0,1.8,0,0,2.3,0,0,20.1,21.5,3.5,0,0,0,39.6,0.4
"54",1982-01-07,52.6,80.4,16.7,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,25.4,9.5,0,0,0,0,39.5,0
"55",1982-01-14,38.6,75.9,0.3,17.8,8.4,43.4,11.2,0,19.3,38.4,20.9,44.2,2.5,0,0,0,0,2,8.5,0.8,58.7,63.7,0,0,0,0,56.7,0
"56",1982-01-21,28.1,77.3,7.9,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,3,60.2,0,0,0,0,13.7,0
"57",1982-01-28,5.7,31.7,8.7,0,0,0,0,0,12.5,12.6,2.7,0,0,0,0,0,0,0,0,0,2.2,46.6,0,0,0,0,52.6,3.8
"58",1982-02-04,10.2,107.8,0.1,0,0,0,3.8,0,19.3,2,0,0,2.6,17.3,0,0,0,0,2.5,0,0.5,17.5,0,0,0,14,3.2,0
"59",1982-02-11,33.3,21,17.8,0,3.1,53.6,0.5,18.8,0,9.3,48,2.5,0,0.8,0,36.8,6,8.9,0.8,0,19.1,80.3,0,10.7,27,9.7,44.8,0
