"","date","...1","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"1",1981-01-01,28,30.1642289161682,37.7980976104736,0,0.953105032444,1.92977678775787,4.00441360473633,0,0,1.17434632778168,25.1963176727295,12.4197328090668,2.90287280082703,4.2716212272644,0,0.645908057689667,0,0,1.15675389766693,8.31762886047363,1.67678904533386,20.7167284488678,14.4833917617798,1.50528109073639,0,0,1.06542897224426,50.2229046821594,20.914391040802
"2",1981-01-08,77,15.8572641611099,37.9941415786744,0,0,0,0,0,0,0,6.22578382492065,9.53823947906494,0,0,6.36665201187134,0,0,6.61912965774536,0,0,0,10.8755187988281,21.9056062698364,1.8062310218811,0,0,0,0,7.14408588409424
"3",1981-01-15,126,54.9086604118346,38.454948425293,0,1.76364231109619,0,0,0,0.00421623792499304,0,0,13.5827965736389,1.85734844207764,2.44601202011108,0,1.5091301202774,0,0,0,0,0,8.13632202148438,21.8392384052277,0,0,0,1.88494098186493,0,0
"4",1981-01-22,175,39.8231425285339,27.514687538147,0,9.53606915473938,3.61997008323669,5.4289391040802,0,0,9.8836829662323,0,57.0984363555908,8.96517658233643,14.8792498111725,4.83899658918381,8.91859292984009,0,8.72094392776489,4.3868408203125,0,4.41706562042236,11.9700899124146,23.0884885787964,6.73531150817871,0,0,8.90979599952698,0,4.65785574913025
"5",1981-01-29,224,11.109348654747,151.030766963959,6.33430194854736,3.27601826190948,2.54995179176331,10.1645894050598,0.496297776699066,0,2.40828013420105,1.69936984777451,86.9658422470092,2.67877364158631,2.78803163766861,1.58492052555084,4.0742027759552,0,3.30677485466004,1.63319611549377,0,2.01363396644592,52.4840681552887,88.1651277542115,2.62089222669602,0,0,5.1942845582962,38.9071674346924,8.7527687549591
"6",1981-02-05,273,16.8056950569153,81.707944393158,7.46564054489136,3.73550611734391,3.3363904953003,2.24651980400085,4.69861745834351,0,7.40786290168762,2.44098448753357,15.1725568771362,2.96258634328842,3.80766010284424,2.21011757850647,4.55384576320648,0,5.26289367675781,2.67962968349457,5.27907371520996,3.44862240552902,20.105655670166,36.9616482257843,4.42954051494599,0,0,5.38548898696899,24.9593968391419,3.01179873943329
"7",1981-02-12,322,98.4262567162514,66.0323309898377,11.6191748380661,7.93393039703369,20.1260335445404,3.72634840011596,3.91851353645325,0,17.133427977562,20.4479835033417,42.5915584564209,7.13414072990418,10.1410131454468,9.98851633071899,11.1697664260864,0,17.3767681121826,4.01504847407341,12.5425837039948,5.05295222997665,82.0158524513244,93.5288231372833,6.27608072757721,0.891302585601807,0,18.1003403663635,65.5069460868835,12.6678502559662
"8",1981-02-19,371,22.2417552471161,79.6892204284669,6.64150300621986,23.8618638515472,51.3161399364471,15.8030338287353,8.65851509571075,1.87086164951324,48.9699066877365,11.8048465251923,29.8448052406311,20.2739415168762,28.2200260162353,4.97055822610855,31.0258769989014,1.13288033008575,19.6574772596359,10.6610836982727,0,12.7063854932785,25.2557125091553,27.3577656745911,17.6374331116676,2.15987968444824,0,39.3819122314453,9.48995685577393,9.40770816802979
"9",1981-02-26,420,21.2489576339721,11.290919303894,10.9978356361389,21.6158337593079,27.0319147109985,4.6966768503189,6.52076643705368,12.4662962555885,26.6371800899506,0,4.18217802047729,20.887089073658,19.8703773915768,4.71906816959381,28.280495762825,2.88688385486603,9.82085919380188,6.82962656021119,3.10596466064453,7.134685754776,0,19.5041997432709,9.56754553318024,0.901114135980606,1.40913319587708,41.8862590789794,0,0
"10",1981-03-05,469,50.7768383026123,51.4083595275879,26.6188144683838,15.4837086200714,28.5896716117859,10.6905024051666,50.6187609434128,42.5517847537994,21.9329084157944,13.1965274810791,16.3360385894775,15.9585992693901,19.5802958011627,6.9497230052948,18.7535744905472,26.7865003347397,14.8215548992157,3.2918860912323,5.02652645111084,3.44490098953247,4.3874454498291,36.5132427215576,7.74135279655457,10.3121750354767,15.951250076294,29.9127850532532,0,0
"11",1981-03-12,518,25.6894228458404,6.62412691116333,49.666597366333,54.311535000801,62.5256077051162,30.9658793210983,57.8129239082337,27.1381758451462,59.0792750120163,0,13.3687944412231,52.0681098699569,53.0096254348755,24.4139894247055,59.5707741975784,2.33202600479126,41.1037278175354,30.9345763325691,17.502697467804,31.8897530436515,0,0,38.0956463813782,2.04054188728332,0.797069668769836,99.2812781333923,21.0926389694214,19.0846948623657
"12",1981-03-19,567,33.8837928771973,73.6216220855712,38.1395101547241,33.2308764457703,42.4793102741242,18.2112947702408,57.725421667099,19.8236092329025,40.9656422138214,165.693274497986,55.4606389999389,29.9009659290314,25.2515856027603,7.62622976675631,33.7373421192169,8.12569800019264,30.3991076946259,11.6587666273117,63.7816457748414,11.8175038099289,5.22953462600708,14.3715372085571,21.6704541444779,5.09216928482056,11.283332824707,36.8219175338745,88.9655361175538,39.6562566757202
"13",1981-03-26,616,42.4711999893188,33.2460289001465,57.3502427041531,26.8514757454396,32.2406737804413,33.9136561155319,8.06146308779716,13.3714184388518,27.2369446754455,90.9919080734253,32.3338916301727,29.2695304453373,32.6280525922776,21.6841769218445,21.4045307338238,18.709490776062,15.2214751243591,18.3080148398876,44.2271616458893,20.7717142105103,42.8283557891846,87.3680944442749,21.5382362604141,6.89019632339478,4.61896514892579,38.6851334571838,121.216417789459,80.6191840171814
