"","date","Kigoma","Songea","Kumasi","Accra.KIA","Akuse","Ho","Takoradi","Bole","Asamankese","Musoma","Mtwara","Nsawam","Axim","Akim.Oda","Akatsi","Yendi","Wenchi","Koforidua","GilgilKwetu","Tema","Dodoma","Mbeya","Pokuase","Tamale","Babile","Begoro","Lake Manyara","Same"
"46",1981-02-15,6,14,0,1,3,0,0,0,1,NA,8,0,0,0,1,0,2,0,1,0,8,2,0,0,0,0,27,0
"47",1981-02-16,6,11,0,2,2,1,0,0,1,NA,0,0,2,0,1,0,1,0,13,0,16,7,0,0,0,0,162,2
"48",1981-02-17,10,6,1,2,1,0,1,0,2,NA,0,0,0,1,1,0,3,1,22,0,14,3,1,0,0,0,18,5
"49",1981-02-18,4,7,10,3,5,0,7,0,2,NA,0,4,4,1,4,0,3,0,0,0,4,2,0,0,0,1,22,6
"50",1981-02-19,0,6,0,6,14,1,2,0,11,NA,10,7,3,1,9,0,1,0,0,0,12,2,0,0,0,5,17,0
"51",1981-02-20,0,6,13,12,17,12,9,2,8,NA,4,7,8,3,13,0,6,6,0,3,4,1,6,0,0,6,1,0
"52",1981-02-21,0,6,9,0,0,1,13,0,2,NA,2,0,1,2,0,0,5,1,0,0,0,1,1,0,0,2,0,0
"53",1981-02-22,8,2,2,10,2,3,0,0,7,NA,0,2,9,1,5,0,12,5,0,1,0,1,5,0,0,1,0,0
"54",1981-02-23,2,12,0,0,0,0,0,0,0,NA,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0
"55",1981-02-24,5,21,1,5,2,2,0,0,4,NA,0,1,6,0,6,0,2,2,0,0,0,0,2,0,0,4,4,0
"56",1981-02-25,25,4,1,4,2,4,4,0,6,NA,2,2,3,0,2,0,0,2,0,0,0,4,2,0,0,0,5,0
"57",1981-02-26,8,2,1,2,4,2,1,0,5,NA,4,3,5,0,3,0,3,0,0,0,0,3,0,0,0,1,1,0
"58",1981-02-27,6,4,1,7,7,2,1,0,6,NA,7,4,3,0,7,0,3,2,0,0,0,6,2,0,0,1,0,0
"59",1981-02-28,8,6,0,1,1,0,0,0,4,NA,7,0,0,1,0,0,4,0,0,0,0,5,0,0,0,0,0,0
"60",1981-03-01,18,10,0,1,2,1,0,0,1,NA,4,1,1,1,1,0,5,0,0,0,0,5,0,0,0,1,0,0
"61",1981-03-02,28,0,0,4,2,1,2,0,4,NA,7,2,0,1,3,0,4,2,0,0,0,0,2,0,0,1,0,0
"62",1981-03-03,17,0,0,3,6,2,1,0,4,NA,3,5,3,2,2,0,6,3,0,2,0,0,3,0,0,2,0,0
"63",1981-03-04,7,0,0,0,1,2,2,0,2,NA,0,3,6,1,1,0,5,1,0,2,0,0,1,0,0,2,0,0
"64",1981-03-05,3,0,0,2,4,1,2,5,2,NA,0,0,1,3,1,0,3,1,0,0,0,0,1,0,4,0,0,0
"65",1981-03-06,6,2,0,0,0,0,2,20,1,NA,0,1,0,1,2,0,1,0,0,0,0,0,0,5,3,2,1,0
"66",1981-03-07,7,12,8,0,1,0,8,2,0,NA,1,1,1,1,0,0,3,0,0,0,0,0,0,0,5,2,27,1
"67",1981-03-08,7,13,3,1,3,0,4,2,2,NA,7,2,0,1,2,0,1,1,0,0,1,7,1,0,0,2,1,0
"68",1981-03-09,9,4,3,2,3,2,6,2,2,NA,1,3,4,3,2,1,4,1,0,2,0,11,1,1,0,2,0,0
"69",1981-03-10,18,1,5,6,10,10,8,5,7,NA,0,7,8,2,5,0,3,5,2,3,0,0,5,0,0,4,1,0
"70",1981-03-11,20,1,6,6,4,10,13,26,9,NA,1,4,7,5,8,0,7,4,1,3,0,0,4,1,5,7,0,0
"71",1981-03-12,17,0,24,29,16,17,16,1,23,NA,0,16,20,6,19,0,6,17,24,8,0,0,17,0,0,9,1,0
"72",1981-03-13,20,0,2,9,11,9,15,0,7,NA,0,6,9,4,7,1,8,5,67,3,0,0,5,0,0,3,2,0
"73",1981-03-14,35,0,13,2,10,2,11,1,3,NA,0,4,4,3,3,0,4,2,2,2,0,0,2,1,0,4,0,1
"74",1981-03-15,49,0,5,4,7,5,8,5,10,NA,3,3,6,3,4,0,6,3,3,2,0,0,3,0,0,3,0,0
"75",1981-03-16,3,5,4,7,7,3,2,0,12,NA,5,3,2,2,10,0,4,2,2,2,0,0,2,0,0,7,9,2
"76",1981-03-17,36,13,10,5,9,1,0,0,11,NA,15,0,0,3,1,0,13,6,8,1,1,11,6,0,0,0,21,0
"77",1981-03-18,48,5,0,3,1,1,3,0,4,NA,3,4,1,7,1,0,11,4,7,4,1,3,4,0,0,0,21,1
"78",1981-03-19,43,8,7,10,9,5,6,3,13,NA,12,8,6,8,6,12,11,10,39,5,2,8,10,4,0,3,22,2
"79",1981-03-20,40,12,1,3,10,2,0,8,7,NA,32,6,5,1,4,0,6,1,32,0,0,8,1,0,1,6,22,0
"80",1981-03-21,13,32,8,6,3,5,6,1,6,NA,12,5,5,2,6,1,7,6,10,4,0,6,6,0,0,4,40,0
"81",1981-03-22,14,12,0,13,2,3,0,0,4,NA,9,1,2,0,10,0,6,6,22,0,0,7,6,0,0,3,43,2
"82",1981-03-23,11,19,0,1,0,1,0,0,1,NA,9,1,0,1,0,0,3,1,10,0,0,16,1,0,0,0,39,2
"83",1981-03-24,7,15,0,1,5,1,0,0,3,NA,22,0,1,4,0,0,6,3,29,4,9,13,3,0,0,0,32,3
"84",1981-03-25,0,6,0,1,2,0,4,0,2,NA,16,0,0,1,1,7,4,1,8,0,30,10,1,1,0,0,11,27
"85",1981-03-26,5,18,1,8,6,3,8,8,11,NA,7,11,4,5,9,5,8,5,11,3,23,29,5,4,0,4,10,14
"86",1981-03-27,0,13,15,16,17,12,11,0,20,NA,5,21,18,8,19,12,13,10,6,9,3,8,10,2,2,19,2,19
"87",1981-03-28,9,12,6,13,9,6,11,0,13,NA,4,3,12,4,10,0,8,5,10,5,12,6,5,0,3,2,3,19
"88",1981-03-29,1,11,0,2,5,1,2,0,3,NA,1,4,2,3,3,0,5,3,12,1,5,13,3,0,1,3,5,10
"89",1981-03-30,9,27,0,0,1,0,0,1,1,NA,2,0,1,1,0,0,1,0,35,0,24,24,0,0,1,0,13,8
"90",1981-03-31,4,0,0,1,1,1,4,15,0,NA,0,1,0,1,1,8,4,0,9,0,10,24,0,2,2,0,7,15
"91",1981-04-01,4,2,1,2,1,1,5,5,3,NA,0,3,1,2,2,0,4,1,5,1,12,25,1,0,0,0,2,25
"92",1981-04-02,3,0,3,3,3,8,6,8,5,NA,0,4,7,0,6,0,4,0,1,0,2,1,0,0,0,4,0,32
"93",1981-04-03,1,0,0,0,0,0,4,0,0,NA,0,0,0,0,1,0,1,0,16,0,14,0,0,0,0,0,6,36
"94",1981-04-04,1,0,1,1,0,0,7,3,1,NA,0,2,1,0,2,4,1,0,0,0,4,0,0,1,1,5,29,9
"95",1981-04-05,9,0,3,0,1,0,8,2,2,NA,0,2,3,1,2,0,1,0,0,0,0,0,0,0,0,3,146,6
"96",1981-04-06,7,0,0,1,2,1,3,0,2,NA,0,1,1,1,1,0,4,1,25,0,3,5,1,0,0,1,15,5
"97",1981-04-07,3,0,0,0,0,0,1,1,0,NA,0,0,0,0,0,0,2,0,5,0,3,3,0,0,1,0,24,4
"98",1981-04-08,8,1,0,3,4,0,2,11,2,NA,0,1,1,2,3,0,2,0,0,0,9,9,0,0,2,2,15,4
"99",1981-04-09,5,0,1,5,3,6,1,0,4,NA,0,5,7,7,6,0,10,2,0,4,9,0,2,0,0,3,22,6
"100",1981-04-10,10,0,0,1,0,1,0,0,1,NA,0,1,1,2,1,0,5,0,2,0,5,0,0,0,0,0,25,3
"101",1981-04-11,21,1,0,2,1,1,0,0,3,NA,1,5,3,2,2,0,2,1,4,0,0,0,1,0,0,1,11,0
"102",1981-04-12,20,1,0,1,1,0,0,0,1,NA,2,2,2,1,1,0,1,0,18,0,4,0,0,0,0,0,14,1
"103",1981-04-13,14,1,0,0,1,0,1,0,0,NA,2,0,0,0,0,0,1,0,21,0,1,0,0,0,0,0,28,1
"104",1981-04-14,9,1,0,0,0,0,1,0,0,NA,2,0,0,0,1,0,0,0,116,0,1,4,0,0,0,0,23,0
"105",1981-04-15,21,1,1,1,1,0,0,0,2,NA,1,1,2,1,1,0,2,0,12,0,1,0,0,0,0,1,5,0
"106",1981-04-16,19,2,1,2,4,6,0,7,7,NA,0,2,2,1,2,2,3,1,19,1,0,2,1,2,2,1,19,0
"107",1981-04-17,22,2,0,0,0,0,0,6,1,NA,0,1,2,0,0,0,1,0,101,0,0,1,0,1,23,0,8,1
"108",1981-04-18,11,1,1,4,2,0,4,8,3,NA,0,1,0,0,3,6,3,1,31,0,0,4,1,5,8,0,6,0
"109",1981-04-19,6,0,16,5,12,3,8,2,8,NA,1,5,11,3,9,2,5,0,14,0,0,0,0,0,0,11,0,0
"110",1981-04-20,21,1,0,1,1,0,11,0,0,NA,3,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,1
