"name","country","X","Y","Region"
"NDOLA","Zambia",28.65,-13,"South Region"
"LUNDAZI","Zambia",33.2,-12.283,"South Region"
"MWINILUNGA","Zambia",24.433,-11.75,"South Region"
"SOLWEZI","Zambia",26.383,-12.183,"South Region"
"KABWE MILLIKEN","Zambia",28.467,-14.45,"South Region"
"KASAMA","Zambia",31.133,-10.217,"South Region"
"KASEMPA","Zambia",25.85,-13.533,"South Region"
"ZAMBEZI","Zambia",23.117,-13.533,"South Region"
"KAOMA","Zambia",24.8,-14.8,"South Region"
"KABOMPO","Zambia",24.2,-13.6,"South Region"
"SESHEKE","Zambia",24.3,-17.467,"South Region"
"CHOMA","Zambia",27.067,-16.833,"South Region"
"MONGU","Zambia",23.15,-15.25,"South Region"
"LIVINGSTONE","Zambia",25.817,-17.817,"South Region"
"KAWAMBWA","Zambia",29.083,-9.8,"South Region"
"MOUNT MAKULU","Zambia",28.25,-15.55,"South Region"
"Mbe_Lowland","Côte d'Ivoire",-5.1138,7.8744,"West Region"
"Mbe_Upland","Côte d'Ivoire",-5.1123,7.8856,"West Region"
"Gagnoa","Côte d'Ivoire",-5.9,6.13,"West Region"
"Man","Côte d'Ivoire",-7.7,7.28,"West Region"
"Gikonko_1","Rwanda",29.89,-2.64,"East Region"
"Ntendezi","Rwanda",29.01,-2.66,"East Region"
"Ngoma","Rwanda",30.4385,-1.9515,"East Region"
"Fogera","Ethiopia",37.69,11.91,"East Region"
