,date,Sum,Sum_Tanz,Sum_Tanz_ch,Sum_Tanz_AG,Sum_Ghana_ch,Sum_Ghana_AG,month
65,1981-03-07,1.0,25.700000000000003,29.45237565040587,48.0,26.89972418546676,32,Mar
66,1981-03-08,9.7,43.3,79.93082237243651,36.0,13.254326701164239,25,Mar
67,1981-03-09,174.10000000000002,39.5,26.6417636871338,25.0,33.94180411100388,44,Mar
68,1981-03-10,0.9,68.30000000000001,16.34934902191162,20.0,57.31769335269929,93,Mar
69,1981-03-11,117.39999999999998,24.599999999999998,6.10331320762635,22.0,134.94288873672497,129,Mar
70,1981-03-12,25.0,3.4,11.2382888793945,18.0,172.82019567489618,244,Mar
71,1981-03-13,9.7,9.9,0.0,22.0,125.71202170848842,104,Mar
72,1981-03-14,82.7,0.0,16.04366397857667,36.0,33.95163047313693,71,Mar
73,1981-03-15,0.0,0.0,5.33818769454956,52.0,228.50891351699812,77,Mar
74,1981-03-16,4.6,35.8,13.35225963592529,24.0,93.86645567417145,69,Mar
75,1981-03-17,4.9,42.2,12.09176874160767,97.0,14.371726751327524,66,Mar
76,1981-03-18,7.1,42.9,27.79550909996029,82.0,107.80616855621341,48,Mar
77,1981-03-19,57.20000000000001,213.2,42.74270009994504,97.0,127.51929527521136,136,Mar
78,1981-03-20,149.6,49.2,105.52963304519642,114.0,96.60014003515244,62,Mar
79,1981-03-21,11.7,32.8,33.8785610198975,103.0,55.5550153292716,81,Mar
80,1981-03-22,16.599999999999998,29.0,84.5043797492981,87.0,39.20213119685651,56,Mar
81,1981-03-23,7.1,35.4,35.80849027633671,96.0,88.41372609138486,10,Mar
82,1981-03-24,23.200000000000003,106.6,61.074992656707735,101.0,37.73588186502457,31,Mar
83,1981-03-25,60.10000000000001,210.8,113.3434362411499,100.0,38.934548303484945,25,Mar
84,1981-03-26,1.0,76.0,104.93656492233282,106.0,26.892946809530265,108,Mar
85,1981-03-27,600.1,62.6,70.30253005027777,50.0,186.25334692001357,234,Mar
86,1981-03-28,7.6,85.1,188.33352470397938,65.0,60.28669980168342,115,Mar
87,1981-03-29,56.2,29.299999999999997,25.299335479736328,46.0,117.26489239931104,41,Mar
88,1981-03-30,7.1,114.60000000000001,29.62208795547485,107.0,27.129465073347088,7,Mar
89,1981-03-31,101.9,64.2,63.81465101242074,60.0,6.455332040786748,41,Mar
90,1981-04-01,5.1,34.900000000000006,48.76638650894157,70.0,24.472708337008914,33,Apr
91,1981-04-02,33.6,42.0,29.05203914642332,38.0,96.76269298791895,61,Apr
92,1981-04-03,6.1000000000000005,28.1,66.1121015548706,57.0,16.098276555538185,6,Apr
93,1981-04-04,41.699999999999996,54.8,15.80591249465942,43.0,12.319829463958744,30,Apr
